address;source_location;insn;indent
0x201be0;/home/ahenches/Documents/isty/AOA/src/kernel.c:5;PUSH	%RBP;
0x201be1;/home/ahenches/Documents/isty/AOA/src/kernel.c:5;PUSH	%R15;
0x201be3;/home/ahenches/Documents/isty/AOA/src/kernel.c:5;PUSH	%R14;
0x201be5;/home/ahenches/Documents/isty/AOA/src/kernel.c:5;PUSH	%RBX;
0x201be6;/home/ahenches/Documents/isty/AOA/src/kernel.c:5;PUSH	%RAX;
0x201be7;/home/ahenches/Documents/isty/AOA/src/kernel.c:8;MOV	%EDI,%EBP;
0x201be9;/home/ahenches/Documents/isty/AOA/src/kernel.c:8;MOV	%EDI,%R15D;
0x201bec;/home/ahenches/Documents/isty/AOA/src/kernel.c:8;MOV	%RDX,%R14;
0x201bef;/home/ahenches/Documents/isty/AOA/src/kernel.c:8;MOV	%RSI,%RBX;
0x201bf2;/home/ahenches/Documents/isty/AOA/src/kernel.c:8;LEA	(,%RBP,4),%RDI;
0x201bfa;/home/ahenches/Documents/isty/AOA/src/kernel.c:8;CALL	202160 <@plt_start@+0x10>;
0x201bff;/home/ahenches/Documents/isty/AOA/src/kernel.c:9;TEST	%R15D,%R15D;
0x201c02;/home/ahenches/Documents/isty/AOA/src/kernel.c:9;JE	201cee <kernel+0x10e>;
0x201c08;/home/ahenches/Documents/isty/AOA/src/kernel.c:9;VXORPS	%XMM0,%XMM0,%XMM0;
0x201c0c;/home/ahenches/Documents/isty/AOA/src/kernel.c:9;XOR	%ECX,%ECX;
0x201c0e;/home/ahenches/Documents/isty/AOA/src/kernel.c:9;XCHG	%AX,%AX;
0x201c10;/home/ahenches/Documents/isty/AOA/src/kernel.c:11;MOV	%ECX,%EDX;(0) 
0x201c12;/home/ahenches/Documents/isty/AOA/src/kernel.c:11;VCVTSI2SS	%RDX,%XMM2,%XMM1;(0) 
0x201c17;/home/ahenches/Documents/isty/AOA/src/kernel.c:11;VADDSS	(%R14,%RCX,4),%XMM1,%XMM1;(0) 
0x201c1d;/home/ahenches/Documents/isty/AOA/src/kernel.c:11;VMOVSS	%XMM1,(%RAX,%RCX,4);(0) 
0x201c22;/home/ahenches/Documents/isty/AOA/src/kernel.c:12;VCVTSS2SD	%XMM1,%XMM1,%XMM1;(0) 
0x201c26;/home/ahenches/Documents/isty/AOA/src/kernel.c:9;INC	%RCX;(0) 
0x201c29;/home/ahenches/Documents/isty/AOA/src/kernel.c:12;VADDSD	%XMM1,%XMM0,%XMM0;(0) 
0x201c2d;/home/ahenches/Documents/isty/AOA/src/kernel.c:9;CMP	%RCX,%RBP;(0) 
0x201c30;/home/ahenches/Documents/isty/AOA/src/kernel.c:9;JNE	201c10 <kernel+0x30>;(0) 
0x201c32;/home/ahenches/Documents/isty/AOA/src/kernel.c:14;CMP	$0x4,%R15D;
0x201c36;/home/ahenches/Documents/isty/AOA/src/kernel.c:14;JAE	201c3f <kernel+0x5f>;
0x201c38;/home/ahenches/Documents/isty/AOA/src/kernel.c:14;XOR	%ECX,%ECX;
0x201c3a;/home/ahenches/Documents/isty/AOA/src/kernel.c:14;JMP	201cd0 <kernel+0xf0>;
0x201c3f;/home/ahenches/Documents/isty/AOA/src/kernel.c:14;CMP	$0x8,%EBP;
0x201c42;/home/ahenches/Documents/isty/AOA/src/kernel.c:14;JAE	201c48 <kernel+0x68>;
0x201c44;/home/ahenches/Documents/isty/AOA/src/kernel.c:14;XOR	%ECX,%ECX;
0x201c46;/home/ahenches/Documents/isty/AOA/src/kernel.c:14;JMP	201c9a <kernel+0xba>;
0x201c48;/home/ahenches/Documents/isty/AOA/src/kernel.c:14;VBROADCASTSD	%XMM0,%YMM1;
0x201c4d;/home/ahenches/Documents/isty/AOA/src/kernel.c:14;MOV	%RBP,%RDX;
0x201c50;/home/ahenches/Documents/isty/AOA/src/kernel.c:14;MOV	%EBP,%ECX;
0x201c52;/home/ahenches/Documents/isty/AOA/src/kernel.c:14;XOR	%ESI,%ESI;
0x201c54;/home/ahenches/Documents/isty/AOA/src/kernel.c:14;SHR	$0x3,%RDX;
0x201c58;/home/ahenches/Documents/isty/AOA/src/kernel.c:14;AND	$-0x8,%ECX;
0x201c5b;/home/ahenches/Documents/isty/AOA/src/kernel.c:14;SAL	$0x5,%RDX;
0x201c5f;/home/ahenches/Documents/isty/AOA/src/kernel.c:14;NOP;
0x201c60;/home/ahenches/Documents/isty/AOA/src/kernel.c:15;VCVTPS2PD	(%RAX,%RSI,1),%YMM2;(1) 
0x201c65;/home/ahenches/Documents/isty/AOA/src/kernel.c:15;VCVTPS2PD	0x10(%RAX,%RSI,1),%YMM3;(1) 
0x201c6b;/home/ahenches/Documents/isty/AOA/src/kernel.c:15;VDIVPD	%YMM1,%YMM3,%YMM3;(1) 
0x201c6f;/home/ahenches/Documents/isty/AOA/src/kernel.c:15;VDIVPD	%YMM1,%YMM2,%YMM2;(1) 
0x201c73;/home/ahenches/Documents/isty/AOA/src/kernel.c:15;VCVTPD2PS	%YMM2,%XMM2;(1) 
0x201c77;/home/ahenches/Documents/isty/AOA/src/kernel.c:15;VCVTPD2PS	%YMM3,%XMM3;(1) 
0x201c7b;/home/ahenches/Documents/isty/AOA/src/kernel.c:15;VMOVUPD	%XMM3,0x10(%RBX,%RSI,1);(1) 
0x201c81;/home/ahenches/Documents/isty/AOA/src/kernel.c:15;VMOVUPD	%XMM2,(%RBX,%RSI,1);(1) 
0x201c86;/home/ahenches/Documents/isty/AOA/src/kernel.c:14;ADD	$0x20,%RSI;(1) 
0x201c8a;/home/ahenches/Documents/isty/AOA/src/kernel.c:14;CMP	%RSI,%RDX;(1) 
0x201c8d;/home/ahenches/Documents/isty/AOA/src/kernel.c:14;JNE	201c60 <kernel+0x80>;(1) 
0x201c8f;/home/ahenches/Documents/isty/AOA/src/kernel.c:14;CMP	%RBP,%RCX;
0x201c92;/home/ahenches/Documents/isty/AOA/src/kernel.c:14;JE	201cee <kernel+0x10e>;
0x201c94;/home/ahenches/Documents/isty/AOA/src/kernel.c:14;TEST	$0x4,%BPL;
0x201c98;/home/ahenches/Documents/isty/AOA/src/kernel.c:14;JE	201cd0 <kernel+0xf0>;
0x201c9a;/home/ahenches/Documents/isty/AOA/src/kernel.c:14;VBROADCASTSD	%XMM0,%YMM1;
0x201c9f;/home/ahenches/Documents/isty/AOA/src/kernel.c:14;MOV	%RCX,%RDX;
0x201ca2;/home/ahenches/Documents/isty/AOA/src/kernel.c:14;MOV	%EBP,%ECX;
0x201ca4;/home/ahenches/Documents/isty/AOA/src/kernel.c:14;AND	$-0x4,%ECX;
0x201ca7;/home/ahenches/Documents/isty/AOA/src/kernel.c:14;NOPW	(%RAX,%RAX,1);
0x201cb0;/home/ahenches/Documents/isty/AOA/src/kernel.c:15;VCVTPS2PD	(%RAX,%RDX,4),%YMM2;(3) 
0x201cb5;/home/ahenches/Documents/isty/AOA/src/kernel.c:15;VDIVPD	%YMM1,%YMM2,%YMM2;(3) 
0x201cb9;/home/ahenches/Documents/isty/AOA/src/kernel.c:15;VCVTPD2PS	%YMM2,%XMM2;(3) 
0x201cbd;/home/ahenches/Documents/isty/AOA/src/kernel.c:15;VMOVUPD	%XMM2,(%RBX,%RDX,4);(3) 
0x201cc2;/home/ahenches/Documents/isty/AOA/src/kernel.c:14;ADD	$0x4,%RDX;(3) 
0x201cc6;/home/ahenches/Documents/isty/AOA/src/kernel.c:14;CMP	%RDX,%RCX;(3) 
0x201cc9;/home/ahenches/Documents/isty/AOA/src/kernel.c:14;JNE	201cb0 <kernel+0xd0>;(3) 
0x201ccb;/home/ahenches/Documents/isty/AOA/src/kernel.c:14;CMP	%RBP,%RCX;
0x201cce;/home/ahenches/Documents/isty/AOA/src/kernel.c:14;JE	201cee <kernel+0x10e>;
0x201cd0;/home/ahenches/Documents/isty/AOA/src/kernel.c:15;VMOVSS	(%RAX,%RCX,4),%XMM1;(2) 
